geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_lng,geolocation_lat,
6381,"carapicuiba","SP",-46.83850036997577,-23.54590014639483,
4614,"sao paulo","SP",-46.67370931779098,-23.61649734693289,
3236,"sao paulo","SP",-46.55384390365589,-23.595770624553314,
1034,"sao paulo","SP",-46.63716661394188,-23.541956005539916,
7865,"franco da rocha","SP",-46.72411126097635,-23.304720941134764,
8577,"itaquaquecetuba","SP",-46.36453897277615,-23.494316153519275,
3634,"sao paulo","SP",-46.54838969302905,-23.52524840022503,
7077,"guarulhos","SP",-46.55400749999998,-23.436558000000005,
4517,"sao paulo","SP",-46.67286227032722,-23.60887282791854,
5857,"sao paulo","SP",-46.78422445628715,-23.65831442714524,
6814,"embu","SP",-46.81348167389912,-23.65816809048413,
5804,"sao paulo","SP",-46.73174552524676,-23.6483172917075,
13433,"piracicaba","SP",-47.60996992951116,-22.56971348681403,
5440,"sao paulo","SP",-46.69229742991519,-23.5464903075192,
5895,"sao paulo","SP",-46.78579959201333,-23.652265201771623,
4428,"sao paulo","SP",-46.6618291505146,-23.67483676939549,
4068,"sao paulo","SP",-46.64733439355993,-23.619421078827376,
3622,"são paulo","SP",-46.517679880373954,-23.520559463500508,
4254,"sao paulo","SP",-46.59325198404405,-23.61945368443072,
5034,"sao paulo","SP",-46.687619860118865,-23.510373935339555,
4652,"sao paulo","SP",-46.667449339539495,-23.658482071409757,
5797,"sao paulo","SP",-46.77194987039063,-23.652131510964264,
4542,"são paulo","SP",-46.67397249763407,-23.585708483207345,
4730,"sao paulo","SP",-46.7200898121191,-23.641890800614902,
11675,"caraguatatuba","SP",-45.425985249584755,-23.621548036354948,
13211,"jundiai","SP",-46.95269699569044,-23.190862803701986,
4913,"são paulo","SP",-46.74127477990652,-23.675957916180963,
4373,"sao paulo","SP",-46.65557523466444,-23.64992981127011,
6850,"itapecerica da serra","SP",-46.85090070611373,-23.71581387433837,
6728,"cotia","SP",-47.011078238698374,-23.68420496886543,
12403,"pindamonhangaba","SP",-45.43075859208745,-22.916282979880503,
8527,"ferraz de vasconcelos","SP",-46.38033332302385,-23.553359224596406,
5675,"sao paulo","SP",-46.699119971023826,-23.59518830412113,
5045,"sao paulo","SP",-46.694010776992315,-23.529262452680467,
5602,"sao paulo","SP",-46.70578470483005,-23.57486439439665,
5021,"sao paulo","SP",-46.6866969940274,-23.534651084655753,
6187,"osasco","SP",-46.81366803563452,-23.545144327746403,
6616,"jandira","SP",-46.910309146098164,-23.52869676677002,
14430,"restinga","SP",-47.47812735522617,-20.598485857997797,
7224,"guarulhos","SP",-46.486810231057746,-23.461553346932888,
13312,"itu","SP",-47.32311284055625,-23.255351108257734,
6770,"taboao da serra","SP",-46.788366803768284,-23.639198605603347,
5770,"sao paulo","SP",-46.75895002553523,-23.648536477927227,
7032,"guarulhos","SP",-46.55534163197529,-23.50238730030584,
5792,"sao paulo","SP",-46.775801653675735,-23.64189642842651,
12947,"atibaia","SP",-46.56059354341165,-23.140061264652548,
6714,"cotia","SP",-46.87190348265908,-23.598502701079134,
7793,"caieiras","SP",-46.68857706552631,-23.39980215725995,
7191,"guarulhos","SP",-46.508131880518185,-23.44557152622771,
7858,"franco da rocha","SP",-46.70848062410647,-23.329682582732993,
11471,"guaruja","SP",-46.28127520912921,-23.964723439638718,
9665,"são bernardo do campo","SP",-46.605873447948596,-23.6577090466557,
5187,"sao paulo","SP",-46.75048797628244,-23.445708003058414,
4821,"sao paulo","SP",-46.6891395195626,-23.724022798776634,
5580,"sao paulo","SP",-46.7168822596514,-23.570876294477458,
6384,"carapicuiba","SP",-46.84423022114422,-23.54244042907059,
5469,"sao paulo","SP",-46.7188808896648,-23.542673615875117,
7845,"franco da rocha","SP",-46.72986221303098,-23.30982874617073,
7855,"franco da rocha","SP",-46.70418255250417,-23.328798663440132,
6725,"cotia","SP",-47.024136618685546,-23.691357431257167,
4105,"sao paulo","SP",-46.63645759716582,-23.578953042512538,
12140,"sao luis do paraitinga","SP",-45.31741111446706,-23.228159316725602,
6162,"osasco","SP",-46.81223458257828,-23.55156554123136,
5075,"sao paulo","SP",-46.70748431695427,-23.521487479600665,
13477,"americana","SP",-47.302928535226876,-22.73468029395843,
6145,"osasco","SP",-46.80305388121067,-23.577010722170964,
7192,"guarulhos","SP",-46.5073515,-23.450328,
4434,"sao paulo","SP",-46.66642276832777,-23.683718664868213,
4544,"sao paulo","SP",-46.67522298903572,-23.590899607276786,
8061,"sao paulo","SP",-46.46620316472388,-23.5070814343586,
7251,"guarulhos","SP",-46.40000032223437,-23.438025566189665,
7283,"guarulhos","SP",-46.46090001110851,-23.439315918402666,
6705,"cotia","SP",-46.883105067608135,-23.584261296455292,
11710,"praia grande","SP",-46.59587524106051,-24.07661810639427,
11443,"guarujá","SP",-46.20330165943382,-23.98211712831417,
4340,"sao paulo","SP",-46.64256516192798,-23.668765265451505,
9952,"diadema","SP",-46.59853877930514,-23.69307189784248,
6126,"osasco","SP",-46.792402345807695,-23.55130926755725,
5650,"sao paulo","SP",-46.697766749999985,-23.618812500000004,
4715,"sao paulo","SP",-46.70556984179701,-23.62928273244274,
7432,"aruja","SP",-46.366088961423024,-23.42685627200065,
7145,"guarulhos","SP",-46.49135679739166,-23.407131017485142,
7868,"franco da rocha","SP",-46.74339900000001,-23.303132999999995,
4928,"sao paulo","SP",-46.73572705664772,-23.707634994039356,
6223,"osasco","SP",-46.77830063687657,-23.518645439222233,
5777,"sao paulo","SP",-46.75476013993051,-23.64862259944479,
3642,"sao paulo","SP",-46.532439903809426,-23.527148067976388,
3382,"sao paulo","SP",-46.528462142102825,-23.579857288649077,
2997,"sao paulo","SP",-46.6353394649452,-23.695449254836635,
1407,"sao paulo","SP",-46.675828488199,-23.578879085492467,
1125,"sao paulo","SP",-46.64048959423503,-23.52613537691152,
4088,"sao paulo","SP",-46.65901071440932,-23.603466091032395,
2350,"sao paulo","SP",-46.601878377807346,-23.456607967511836,
5678,"sao paulo","SP",-46.704230030671106,-23.598962800450067,
3543,"são paulo","SP",-46.51658348320734,-23.532497643632052,
3294,"são paulo","SP",-46.51771757729815,-23.602725135726203,
2950,"sao paulo","SP",-46.72020901234925,-23.482228347221355,
1220,"são paulo","SP",-46.64667342728946,-23.545690072162273,
6767,"taboao da serra","SP",-46.78359824799634,-23.616809050711897,
5458,"são paulo","SP",-46.71601476657629,-23.542703120174288,
4191,"sao paulo","SP",-46.6051344096601,-23.6465427732414,
5305,"sao paulo","SP",-46.72605927572291,-23.536490826245096,
4774,"sao paulo","SP",-46.70629026089217,-23.684887435195314,
8727,"mogi das cruzes","SP",-46.18604934769461,-23.56581090002935,
4315,"sao paulo","SP",-46.62972494532286,-23.636161110190972,
7767,"cajamar","SP",-46.926222357227346,-23.335586035022033,
5404,"sao paulo","SP",-46.689846841797,-23.567517293092486,
13641,"pirassununga","SP",-47.362925532951216,-21.923476776548497,
9847,"sao bernardo do campo","SP",-46.531690191497354,-23.778885155612638,
13841,"mogi guaçu","SP",-46.927895225689035,-22.360004380991427,
5834,"sao paulo","SP",-46.756025759362934,-23.668867938109507,
4733,"são paulo","SP",-46.69186996887863,-23.632405094918127,
7096,"guarulhos","SP",-46.539531906053405,-23.44855708520401,
5762,"sao paulo","SP",-46.76165371357263,-23.63990068942237,
12053,"taubate","SP",-45.577105832884946,-23.00035496068986,
8381,"sao paulo","SP",-46.43353683166944,-23.60507785567546,
5347,"sao paulo","SP",-46.73596208578093,-23.5518942140053,
11335,"sao vicente","SP",-46.40819986269855,-23.96881881028036,
5513,"sao paulo","SP",-46.724146122224454,-23.586596221226337,
4207,"sao paulo","SP",-46.60679150544939,-23.583380020890285,
7770,"polvilho","SP",-46.82949823380578,-23.412163674775385,
2047,"sao paulo","SP",-46.621841082340914,-23.516228288983875,
13171,"sumaré","SP",-47.27138947396671,-22.82526764290794,
8215,"sao paulo","SP",-46.44303732209014,-23.536578572854754,
6534,"santana de parnaiba","SP",-46.8672395933411,-23.41655927920131,
3446,"sao paulo","SP",-46.52642574187593,-23.552505617627773,
2962,"sao paulo","SP",-46.70322542312382,-23.48765282377797,
8598,"itaquaquecetuba","SP",-46.328787373310355,-23.468549391109388,
5715,"são paulo","SP",-46.73301030642267,-23.627097313636035,
5343,"sao paulo","SP",-46.75027643574357,-23.5553899664147,
2201,"sao paulo","SP",-46.597117908823385,-23.492111039413683,
13483,"limeira","SP",-47.447471268798,-22.564760668330553,
7920,"francisco morato","SP",-46.73202159938718,-23.27438021128032,
6652,"itapevi","SP",-46.92588524999999,-23.549521500000004,
2517,"sao paulo","SP",-46.66694605329214,-23.508406571469774,
9550,"sao caetano do sul","SP",-46.545626745879375,-23.60991687706031,
6516,"santana de parnaiba","SP",-46.89178075867046,-23.479053454065436,
6334,"carapicuiba","SP",-46.83002326655941,-23.544436375613248,
13482,"limeira","SP",-47.44080418252531,-22.581360186748803,
6810,"embu das artes","SP",-46.797022346788665,-23.647552135986004,
3930,"sao paulo","SP",-46.50055752686221,-23.57913650412704,
3678,"são paulo","SP",-46.492680683778566,-23.522711801989576,
5346,"sao paulo","SP",-46.74081271619835,-23.551793810721854,
5311,"sao paulo","SP",-46.73898242102839,-23.526225596456747,
3155,"sao paulo","SP",-46.575773460038036,-23.583612070488833,
13144,"paulinia","SP",-47.201204661117195,-22.753852973628053,
9655,"sao bernardo do campo","SP",-46.595974273674095,-23.656754693577312,
3809,"sao paulo","SP",-46.477288132040016,-23.489709569646998,
7043,"guarulhos","SP",-46.55200388926075,-23.48458820260835,
5510,"sao paulo","SP",-46.70908382806277,-23.5745188529055,
4142,"são paulo","SP",-46.62914743721697,-23.612191434749768,
4784,"sao paulo","SP",-46.70991360935426,-23.688026444630378,
5037,"sao paulo","SP",-46.689194269346274,-23.51359147293557,
4747,"sao paulo","SP",-46.698906303457704,-23.657594422076475,
14171,"sertaozinho","SP",-47.98464685810053,-21.15370114281959,
6631,"jandira","SP",-46.90352199362757,-23.542857472547013,
5742,"são paulo","SP",-46.74846538769298,-23.61136238939625,
4459,"são paulo","SP",-46.67324399999998,-23.693697,
13100,"campinas","SP",-47.039067947499824,-22.911267595969584,
13179,"sumaré","SP",-47.17751112337695,-22.83001490175424,
6880,"itapecerica da serra","SP",-46.91982001226567,-23.77723814872678,
7718,"caieiras","SP",-46.75925241372612,-23.334133259313184,
3477,"são paulo","SP",-46.51165209103238,-23.567871394944913,
5624,"sao paulo","SP",-46.72896979961336,-23.597231814876793,
5327,"são paulo","SP",-46.7577976058918,-23.545707747157927,
3203,"sao paulo","SP",-46.5660794753015,-23.60113876770148,
1122,"sao paulo","SP",-46.64002553482605,-23.531952971406355,
3975,"sao paulo","SP",-46.49078333819031,-23.610380647238728,
3923,"sao paulo","SP",-46.5076835471753,-23.59474999417162,
5208,"sao paulo","SP",-46.75599423313523,-23.411000126839397,
3258,"sao paulo","SP",-46.52708912891686,-23.61109640437998,
3171,"são paulo","SP",-46.591300446015374,-23.55027105107045,
2501,"sao paulo","SP",-46.66118358067858,-23.514912288431226,
2076,"sao paulo","SP",-46.59957983360268,-23.506766884269098,
1014,"sao paulo","SP",-46.63358224756194,-23.54533828642738,
4058,"sao paulo","SP",-46.648720163194646,-23.607263147931224,
1415,"sao paulo","SP",-46.65473309547579,-23.551983062727214,
4037,"são paulo","SP",-46.641542788649076,-23.595931445467105,
3721,"sao paulo","SP",-46.52593300045865,-23.501870113877597,
6529,"santana de parnaiba","SP",-46.87876704415906,-23.398844255068585,
5705,"sao paulo","SP",-46.72252979669914,-23.62607856480468,
4773,"sao paulo","SP",-46.708122091032386,-23.684055579519857,
5881,"sao paulo","SP",-46.78003395175959,-23.68608870406474,
5175,"sao paulo","SP",-46.73983398903573,-23.472897024150246,
4401,"sao paulo","SP",-46.66744970642773,-23.668196003453975,
8755,"mogi das cruzes","SP",-46.23519284771746,-23.611059619205385,
5877,"sao paulo","SP",-46.79338242783771,-23.69309383236194,
12090,"taubate","SP",-45.54464171562275,-23.04158716227218,
5001,"sao paulo","SP",-46.67708970843671,-23.52598860170821,
11347,"sao vicente","SP",-46.45534307711509,-23.98003430229968,
8310,"sao paulo","SP",-46.460989383288144,-23.6255620649489,
5610,"são paulo","SP",-46.71095680143102,-23.585225196231704,
6868,"itapecerica da serra","SP",-46.84382817455784,-23.759555197683664,
7044,"guarulhos","SP",-46.55470271579431,-23.4877103119626,
4022,"sao paulo","SP",-46.64170398182235,-23.594661387183294,
3401,"sao paulo","SP",-46.557623687893155,-23.53904448903572,
3030,"sao paulo","SP",-46.61866348459231,-23.526435803220025,
7940,"francisco morato","SP",-46.745480410537176,-23.299626093582933,
6888,"itapecerica da serra","SP",-46.86083774999999,-23.687023500000002,
4366,"são paulo","SP",-46.64371172592186,-23.67339422592187,
4002,"sao paulo","SP",-46.64982508203001,-23.573253950862792,
3935,"sao paulo","SP",-46.506056089317035,-23.591593470130217,
6110,"osasco","SP",-46.79176358479999,-23.531286551762932,
3554,"sao paulo","SP",-46.505791676380625,-23.540076785734893,
6723,"cotia","SP",-46.912921653861794,-23.595029105922936,
5530,"sao paulo","SP",-46.71957676519131,-23.576826793496515,
12606,"lorena","SP",-45.10042066755537,-22.743206087554817,
12444,"pindamonhangaba","SP",-45.3831558875981,-22.894108042481427,
8010,"são paulo","SP",-46.43956383527612,-23.496378674158937,
2532,"sao paulo","SP",-46.65218075673722,-23.502208075220693,
2992,"sao paulo","SP",-46.7285339202866,-23.451797092311345,
2041,"sao paulo","SP",-46.6210295836748,-23.488213767413022,
6379,"carapicuíba","SP",-46.85972267199777,-23.534842025829718,
6280,"osasco","SP",-46.76802355536961,-23.506772467684097,
3475,"são paulo","SP",-46.51866137760398,-23.575670633360264,
2186,"sao paulo","SP",-46.5701716054591,-23.514175121011018,
2125,"sao paulo","SP",-46.587603535807,-23.50861076325809,
5085,"sao paulo","SP",-46.73008485760868,-23.5254432897456,
4788,"são paulo","SP",-46.70633388732753,-23.703454456287147,
3004,"sao paulo","SP",-46.62256801234924,-23.544390288937535,
6774,"taboao da serra","SP",-46.800441015407664,-23.64208588703906,
3423,"são paulo","SP",-46.54201952054355,-23.550460260892155,
2342,"sao paulo","SP",-46.609382373708875,-23.475183433521877,
7400,"aruja","SP",-46.300775065641396,-23.391055927837726,
2750,"sao paulo","SP",-46.67916193505108,-23.494971542039416,
5514,"sao paulo","SP",-46.71412828697563,-23.58206932835122,
3921,"sao paulo","SP",-46.51298916694557,-23.587517000836716,
3673,"sao paulo","SP",-46.50056509117663,-23.515323097697486,
2930,"sao paulo","SP",-46.708620675421685,-23.492847918833178,
2811,"sao paulo","SP",-46.70239548182237,-23.476460029141904,
7263,"guarulhos","SP",-46.394807594783316,-23.464959443793653,
5095,"sao paulo","SP",-46.716674348922545,-23.511992190528062,
3804,"são paulo","SP",-46.480932602689144,-23.496444062727203,
18131,"sao roque","SP",-47.15636480737498,-23.535956535662766,
18115,"votorantim","SP",-47.45470594953256,-23.571526781777802,
13278,"valinhos","SP",-47.01686749999996,-22.997144999999946,
9832,"sao bernardo do campo","SP",-46.5185598538578,-23.775432076057402,
9861,"são bernardo do campo","SP",-46.586666152518845,-23.706013526775966,
23955,"angra dos reis","RJ",-44.53502497819833,-23.008066745967334,
18410,"itapeva","SP",-48.880521794741014,-23.979868438835762,
8143,"sao paulo","SP",-46.571502914326615,-23.433171181159086,
2508,"sao paulo","SP",-46.66369014308379,-23.509848068295792,
1103,"sao paulo","SP",-46.63170629156326,-23.535453394396647,
6410,"barueri","SP",-46.8635679700527,-23.501610516144265,
2971,"sao paulo","SP",-46.711235195250744,-23.48815376380634,
1238,"sao paulo","SP",-46.652460296699154,-23.545262137111173,
7220,"guarulhos","SP",-46.471416087425695,-23.45893669386578,
4510,"sao paulo","SP",-46.667705652374615,-23.594543328899487,
4292,"sao paulo","SP",-46.610755402850764,-23.616439648075445,
3414,"são paulo","SP",-46.547345551618704,-23.561166960038054,
1027,"sao paulo","SP",-46.62956254731953,-23.538609367187988,
6857,"itapecerica da serra","SP",-46.79332036166562,-23.704247351088792,
5867,"sao paulo","SP",-46.76745520912923,-23.672420560361275,
4417,"sao paulo","SP",-46.63286723910783,-23.67710499194992,
3657,"sao paulo","SP",-46.506705176058816,-23.527399189296855,
3071,"sao paulo","SP",-46.56274555121468,-23.533265000288452,
1153,"sao paulo","SP",-46.65394803649948,-23.528107581741555,
9912,"diadema","SP",-46.61641457379436,-23.68675279152478,
5858,"sao paulo","SP",-46.772527368861425,-23.660101665560592,
5616,"sao paulo","SP",-46.72179880613422,-23.589129803220032,
4432,"são paulo","SP",-46.6630799824972,-23.68279381438185,
1404,"são paulo","SP",-46.65504149027648,-23.567770675832374,
11070,"santos","SP",-46.34279035457893,-23.96022142853022,
7748,"caieiras","SP",-46.73078155312751,-23.39274931785172,
7124,"guarulhos","SP",-46.53917266769279,-23.42722361447939,
3650,"sao paulo","SP",-46.521132129061094,-23.526876352761263,
4255,"sao paulo","SP",-46.59150604163539,-23.623587681372296,
1108,"sao paulo","SP",-46.62610017872921,-23.532131979486646,
1047,"sao paulo","SP",-46.64016774216627,-23.545435222863446,
7131,"guarulhos","SP",-46.525563062727194,-23.43268139938832,
1032,"sao paulo","SP",-46.63552281556929,-23.541381136274456,
4770,"sao paulo","SP",-46.71294414210283,-23.67654504302037,
4677,"são paulo","SP",-46.68101955926475,-23.66552091257429,
12093,"taubate","SP",-45.5681229832869,-23.071778216126926,
11708,"praia grande","SP",-46.571073559630236,-24.069611146001378,
6220,"osasco","SP",-46.78149107467243,-23.51821138550985,
5585,"sao paulo","SP",-46.72647268220902,-23.571541341104506,
13490,"cordeiropolis","SP",-47.47705064244029,-22.48277408826721,
12042,"taubate","SP",-45.61147383888817,-23.04436155878119,
8060,"sao paulo","SP",-46.455252442697144,-23.50443283596862,
6852,"itapecerica da serra","SP",-46.85866961657614,-23.703242047164316,
1203,"sao paulo","SP",-46.64241068192055,-23.5396986397369,
6655,"itapevi","SP",-46.915318176007105,-23.549124843353702,
6355,"carapicuiba","SP",-46.869452236844545,-23.55741877193266,
5336,"sao paulo","SP",-46.75128010338163,-23.545938226758587,
5011,"são paulo","SP",-46.691128335968614,-23.529787260892153,
1234,"sao paulo","SP",-46.66279788121068,-23.535929378296487,
5684,"são paulo","SP",-46.7018385874257,-23.60582484595194,
3028,"são paulo","SP",-46.608649202752574,-23.525211447400334,
5173,"sao paulo","SP",-46.74231813558197,-23.479878824311857,
4251,"são paulo","SP",-46.59643126731841,-23.625810290417466,
1050,"sao paulo","SP",-46.643139396906825,-23.54985418067981,
6870,"itapecerica da serra","SP",-46.85349455130803,-23.700873317203225,
6717,"cotia","SP",-46.92020196725141,-23.60607325145709,
6434,"barueri","SP",-46.88916459285639,-23.531426646089145,
1303,"sao paulo","SP",-46.647890794765914,-23.55100618013154,
7835,"franco da rocha","SP",-46.73511137943669,-23.3237581172304,
6266,"osasco","SP",-46.788174,-23.493375,
5862,"sao paulo","SP",-46.7633020284494,-23.66687449624909,
11722,"praia grande","SP",-46.44751633215751,-24.000239546638706,
11340,"sao vicente","SP",-46.41234461265797,-23.95464666723819,
5002,"sao paulo","SP",-46.674733850683786,-23.530614663338888,
4955,"sao paulo","SP",-46.684312690259105,-23.762182976686475,
3942,"sao paulo","SP",-46.496724056062114,-23.594266739107848,
3237,"sao paulo","SP",-46.553181532748575,-23.591852947544563,
1012,"sao paulo","SP",-46.635147429366945,-23.547677711062462,
9785,"sao bernardo do campo","SP",-46.5297041565464,-23.71144898130583,
7031,"guarulhos","SP",-46.55202222819363,-23.504113700956655,
5060,"sao paulo","SP",-46.71410140161001,-23.534619935887815,
1230,"sao paulo","SP",-46.65838902240767,-23.540613871977495,
14315,"batatais","SP",-47.5968574313102,-20.90176019243733,
9361,"maua","SP",-46.449829833198656,-23.700760188441425,
8515,"ferraz de vasconcelos","SP",-46.37411020714745,-23.577299274136507,
4382,"sao paulo","SP",-46.662876125454424,-23.65594170690752,
1150,"sao paulo","SP",-46.6574641552888,-23.532869493479122,
13506,"rio claro","SP",-47.552787630294766,-22.375236959068378,
4549,"sao paulo","SP",-46.67861583680533,-23.602437240637048,
7111,"guarulhos","SP",-46.52588692131687,-23.46314693366611,
1212,"sao paulo","SP",-46.64147712698362,-23.5384235523112,
6140,"osasco","SP",-46.80260443977579,-23.57267321130112,
4520,"sao paulo","SP",-46.67175275007212,-23.604760561197995,
1549,"sao paulo","SP",-46.61696294477461,-23.57604521842004,
6550,"pirapora do bom jesus","SP",-47.006522250348084,-23.400160516988425,
2543,"sao paulo","SP",-46.66140038301606,-23.484750429609214,
2323,"sao paulo","SP",-46.71629334060838,-23.429738465853283,
6600,"jandira","SP",-46.89801963674189,-23.530092335162202,
5356,"sao paulo","SP",-46.75511883190869,-23.56344,
2539,"sao paulo","SP",-46.65876943088681,-23.496037070694424,
3057,"sao paulo","SP",-46.59335438980902,-23.542478298084138,
4378,"são paulo","SP",-46.66618916303854,-23.642050249645,
4025,"são paulo","SP",-46.646652714813364,-23.597767487650753,
3518,"sao paulo","SP",-46.52398610866177,-23.544499725229386,
3211,"sao paulo","SP",-46.553632873304835,-23.602774526227705,
4301,"são paulo","SP",-46.63404352553522,-23.621160489035734,
7034,"guarulhos","SP",-46.524418155981294,-23.476679350539573,
4640,"sao paulo","SP",-46.68258353086217,-23.633508408299885,
3729,"sao paulo","SP",-46.50715760199666,-23.49898897807146,
4921,"sao paulo","SP",-46.751344989035715,-23.693030077990656,
4606,"sao paulo","SP",-46.67654883374693,-23.62211657369148,
5344,"sao paulo","SP",-46.74598485553123,-23.553659902302503,
5024,"sao paulo","SP",-46.687094250216326,-23.53112816680135,
11523,"cubatao","SP",-46.42515622742431,-23.904601867709967,
8830,"mogi das cruzes","SP",-46.14607715193133,-23.524187845468923,
8621,"suzano","SP",-46.325052848080816,-23.568638426883247,
8540,"ferraz de vasconcelos","SP",-46.383691943436844,-23.524496777927983,
13107,"campinas","SP",-46.9571731239252,-22.87811632944775,
3967,"sao paulo","SP",-46.47579450874258,-23.607228604218363,
13903,"amparo","SP",-46.76410696794392,-22.718882849847077,
12913,"braganca paulista","SP",-46.52341863421785,-22.962633441166982,
4686,"sao paulo","SP",-46.691081040394636,-23.66428185651218,
4547,"são paulo","SP",-46.685808104910855,-23.596774701079134,
4357,"sao paulo","SP",-46.65539091737165,-23.63479223754861,
13331,"indaiatuba","SP",-47.22353394324141,-23.088243949385582,
9732,"sao bernardo do campo","SP",-46.557332884817356,-23.681797500432683,
9570,"são caetano do sul","SP",-46.55842060644005,-23.628639300305835,
8040,"sao paulo","SP",-46.44723780183505,-23.505513034970278,
4940,"são paulo","SP",-46.76639037523806,-23.688005448237064,
4580,"sao paulo","SP",-46.68640345628714,-23.622003785734886,
2877,"são paulo","SP",-46.68018655532475,-23.45241061914654,
2876,"sao paulo","SP",-46.69999169553922,-23.447910069940566,
13271,"valinhos","SP",-47.01219940781335,-22.963253612775464,
7062,"guarulhos","SP",-46.556828250764596,-23.458083034970286,
6768,"taboao da serra","SP",-46.75265774999998,-23.607693000000005,
5113,"sao paulo","SP",-46.754711999999984,-23.500404000000003,
3026,"são paulo","SP",-46.60925339785911,-23.53037035359799,
14061,"ribeirão preto","SP",-47.80805803926945,-21.124712074932233,
6900,"embu-guacu","SP",-46.7942383077003,-23.841987813423977,
4501,"sao paulo","SP",-46.663601480697174,-23.58444777047145,
3472,"sao paulo","SP",-46.52130837018465,-23.572447484056713,
6246,"osasco","SP",-46.80048564679799,-23.500216721257164,
3332,"sao paulo","SP",-46.575084824860106,-23.552588168474788,
3111,"sao paulo","SP",-46.60586586856825,-23.558072306116813,
8072,"sao paulo","SP",-46.45823427684544,-23.489379020297093,
7052,"guarulhos","SP",-46.55393538995324,-23.47169106633389,
5270,"sao paulo","SP",-46.73806789869582,-23.574661292255755,
3941,"são paulo","SP",-46.498034163887134,-23.594597308355926,
3425,"sao paulo","SP",-46.54001234831785,-23.557353348606323,
3175,"sao paulo","SP",-46.58364574187781,-23.55051813765943,
3151,"sao paulo","SP",-46.585833594927536,-23.588284537047752,
8080,"sao paulo","SP",-46.43110132070518,-23.487303394396655,
